Name,Value,Timestamp,Step
"test_f1_score",0.340131786024555,1619506800302,1
"test_precision",0.3325900548141476,1619506800302,1
"test_recall",0.43392070484581496,1619506800302,1
"test_f1_score_Hypothesis.statistical_test",0.9983,1619506800302,1
"test_precision_Hypothesis.statistical_test",0.9986,1619506800302,1
"test_recall_Hypothesis.statistical_test",0.9986,1619506800302,1
"test_f1_score_Hyperparam_Tuning.choose_model_class",1.0,1619506800302,1
"test_precision_Hyperparam_Tuning.choose_model_class",1.0,1619506800302,1
"test_recall_Hyperparam_Tuning.choose_model_class",1.0,1619506800302,1
"test_f1_score_Hypothesis.pipeline_type_spec",1.0,1619506800302,1
"test_precision_Hypothesis.pipeline_type_spec",1.0,1619506800302,1
"test_recall_Hypothesis.pipeline_type_spec",1.0,1619506800302,1
"test_f1_score_Environment.import_modules",0.9209,1619506800302,1
"test_precision_Environment.import_modules",0.9549,1619506800302,1
"test_recall_Environment.import_modules",0.9047,1619506800302,1
"test_f1_score_Environment.set_options",0.9928,1619506800302,1
"test_precision_Environment.set_options",0.9904,1619506800302,1
"test_recall_Environment.set_options",0.9952,1619506800302,1
"test_f1_score_Environment.get_options",1.0,1619506800302,1
"test_precision_Environment.get_options",1.0,1619506800302,1
"test_recall_Environment.get_options",1.0,1619506800302,1
"test_f1_score_Data_Extraction.load_from_url",1.0,1619506800302,1
"test_precision_Data_Extraction.load_from_url",1.0,1619506800302,1
"test_recall_Data_Extraction.load_from_url",1.0,1619506800302,1
"test_f1_score_Data_Extraction.load_from_sql",1.0,1619506800302,1
"test_precision_Data_Extraction.load_from_sql",1.0,1619506800302,1
"test_recall_Data_Extraction.load_from_sql",1.0,1619506800302,1
"test_f1_score_Data_Extraction.load_from_disk",0.9979,1619506800302,1
"test_precision_Data_Extraction.load_from_disk",0.9973,1619506800302,1
"test_recall_Data_Extraction.load_from_disk",0.9986,1619506800302,1
"test_f1_score_Data_Extraction.load_from_csv",0.9709,1619506800302,1
"test_precision_Data_Extraction.load_from_csv",0.976,1619506800302,1
"test_recall_Data_Extraction.load_from_csv",0.9684,1619506800302,1
"test_f1_score_EDA.show_table",0.8923,1619506800302,1
"test_precision_EDA.show_table",0.8938,1619506800302,1
"test_recall_EDA.show_table",0.8909,1619506800302,1
"test_f1_score_EDA.show_table_attributes",0.8246,1619506800302,1
"test_precision_EDA.show_table_attributes",0.8718,1619506800302,1
"test_recall_EDA.show_table_attributes",0.784,1619506800302,1
"test_f1_score_EDA.count_missing_values",0.9893,1619506800302,1
"test_precision_EDA.count_missing_values",0.9896,1619506800302,1
"test_recall_EDA.count_missing_values",0.9904,1619506800302,1
"test_f1_score_EDA.count_duplicates",0.999,1619506800302,1
"test_precision_EDA.count_duplicates",0.9986,1619506800302,1
"test_recall_EDA.count_duplicates",0.9993,1619506800302,1
"test_f1_score_EDA.count_data_types",0.9884,1619506800302,1
"test_precision_EDA.count_data_types",0.985,1619506800302,1
"test_recall_EDA.count_data_types",0.9918,1619506800302,1
"test_f1_score_EDA.count_unique_values",0.9801,1619506800302,1
"test_precision_EDA.count_unique_values",0.9801,1619506800302,1
"test_recall_EDA.count_unique_values",0.9849,1619506800302,1
"test_f1_score_EDA.get_unique_values",0.981,1619506800302,1
"test_precision_EDA.get_unique_values",0.9902,1619506800302,1
"test_recall_EDA.get_unique_values",0.9753,1619506800302,1
"test_f1_score_EDA.show_shape",0.9652,1619506800302,1
"test_precision_EDA.show_shape",0.9539,1619506800302,1
"test_recall_EDA.show_shape",0.9767,1619506800302,1
"test_f1_score_Data_Transform.create_dataframe",0.9618,1619506800302,1
"test_precision_Data_Transform.create_dataframe",0.9731,1619506800302,1
"test_recall_Data_Transform.create_dataframe",0.9527,1619506800302,1
"test_f1_score_Data_Transform.remove_duplicates",0.9973,1619506800302,1
"test_precision_Data_Transform.remove_duplicates",0.9982,1619506800302,1
"test_recall_Data_Transform.remove_duplicates",0.9966,1619506800302,1
"test_f1_score_Data_Transform.correct_missing_values",0.9896,1619506800302,1
"test_precision_Data_Transform.correct_missing_values",0.9905,1619506800302,1
"test_recall_Data_Transform.correct_missing_values",0.989,1619506800302,1
"test_f1_score_Data_Transform.normalization",0.9936,1619506800302,1
"test_precision_Data_Transform.normalization",0.9941,1619506800302,1
"test_recall_Data_Transform.normalization",0.9931,1619506800302,1
"test_f1_score_Data_Transform.data_type_conversions",0.9726,1619506800302,1
"test_precision_Data_Transform.data_type_conversions",0.9757,1619506800302,1
"test_recall_Data_Transform.data_type_conversions",0.9705,1619506800302,1
"test_f1_score_Data_Transform.randomize_order",0.999,1619506800302,1
"test_precision_Data_Transform.randomize_order",0.9986,1619506800302,1
"test_recall_Data_Transform.randomize_order",0.9993,1619506800302,1
"test_f1_score_Data_Transform.split",0.9643,1619506800302,1
"test_precision_Data_Transform.split",0.9787,1619506800302,1
"test_recall_Data_Transform.split",0.9527,1619506800302,1
"test_f1_score_Data_Transform.filter",0.9744,1619506800302,1
"test_precision_Data_Transform.filter",0.966,1619506800302,1
"test_recall_Data_Transform.filter",0.9829,1619506800302,1
"test_f1_score_Data_Transform.concatenate",0.9791,1619506800302,1
"test_precision_Data_Transform.concatenate",0.9727,1619506800302,1
"test_recall_Data_Transform.concatenate",0.9856,1619506800302,1
"test_f1_score_Data_Transform.drop_column",0.9438,1619506800302,1
"test_precision_Data_Transform.drop_column",0.926,1619506800302,1
"test_recall_Data_Transform.drop_column",0.9623,1619506800302,1
"test_f1_score_Data_Transform.sort_values",0.9893,1619506800302,1
"test_precision_Data_Transform.sort_values",0.9976,1619506800302,1
"test_recall_Data_Transform.sort_values",0.9829,1619506800302,1
"test_f1_score_Data_Transform.feature_engineering",0.9106,1619506800302,1
"test_precision_Data_Transform.feature_engineering",0.9062,1619506800302,1
"test_recall_Data_Transform.feature_engineering",0.9156,1619506800302,1
"test_f1_score_Data_Transform.prepare_x_and_y",0.9805,1619506800302,1
"test_precision_Data_Transform.prepare_x_and_y",0.9741,1619506800302,1
"test_recall_Data_Transform.prepare_x_and_y",0.987,1619506800302,1
"test_f1_score_Data_Transform.categorify",0.9726,1619506800302,1
"test_precision_Data_Transform.categorify",0.9646,1619506800302,1
"test_recall_Data_Transform.categorify",0.9808,1619506800302,1
"test_f1_score_Data_Transform.augment",1.0,1619506800302,1
"test_precision_Data_Transform.augment",1.0,1619506800302,1
"test_recall_Data_Transform.augment",1.0,1619506800302,1
"test_f1_score_Data_Transform.merge",0.9941,1619506800302,1
"test_precision_Data_Transform.merge",0.9971,1619506800302,1
"test_recall_Data_Transform.merge",0.9925,1619506800302,1
"test_f1_score_Data_Transform.groupby",0.9803,1619506800302,1
"test_precision_Data_Transform.groupby",0.9904,1619506800302,1
"test_recall_Data_Transform.groupby",0.9739,1619506800302,1
"test_f1_score_Data_Transform.rename_columns",0.9913,1619506800302,1
"test_precision_Data_Transform.rename_columns",0.9923,1619506800302,1
"test_recall_Data_Transform.rename_columns",0.9904,1619506800302,1
"test_f1_score_Model_Train.choose_model_class",0.9649,1619506800302,1
"test_precision_Model_Train.choose_model_class",0.9766,1619506800302,1
"test_recall_Model_Train.choose_model_class",0.9547,1619506800302,1
"test_f1_score_Model_Train.train_model",0.9544,1619506800302,1
"test_precision_Model_Train.train_model",0.9752,1619506800302,1
"test_recall_Model_Train.train_model",0.9431,1619506800302,1
"test_f1_score_Model_Train.metric_computation",0.9601,1619506800302,1
"test_precision_Model_Train.metric_computation",0.9472,1619506800302,1
"test_recall_Model_Train.metric_computation",0.9733,1619506800302,1
"test_f1_score_Model_Train.predict",0.9596,1619506800302,1
"test_precision_Model_Train.predict",0.9843,1619506800302,1
"test_recall_Model_Train.predict",0.9451,1619506800302,1
"test_f1_score_Model_Train.load_pretrained",0.9979,1619506800302,1
"test_precision_Model_Train.load_pretrained",0.9973,1619506800302,1
"test_recall_Model_Train.load_pretrained",0.9986,1619506800302,1
"test_f1_score_Model_Train.init_hyperparams",0.9966,1619506800302,1
"test_precision_Model_Train.init_hyperparams",0.9959,1619506800302,1
"test_recall_Model_Train.init_hyperparams",0.9973,1619506800302,1
"test_f1_score_Model_Evaluation.compute_test_metric",0.9671,1619506800302,1
"test_precision_Model_Evaluation.compute_test_metric",0.989,1619506800302,1
"test_recall_Model_Evaluation.compute_test_metric",0.9472,1619506800302,1
"test_f1_score_Model_Evaluation.predict_on_test",0.9661,1619506800302,1
"test_precision_Model_Evaluation.predict_on_test",0.9734,1619506800302,1
"test_recall_Model_Evaluation.predict_on_test",0.9602,1619506800302,1
"test_f1_score_Model_Interpretation.get_coefficients",0.9939,1619506800302,1
"test_precision_Model_Interpretation.get_coefficients",0.9952,1619506800302,1
"test_recall_Model_Interpretation.get_coefficients",0.9952,1619506800302,1
"test_f1_score_Hyperparam_Tuning.find_best_score",0.9798,1619506800302,1
"test_precision_Hyperparam_Tuning.find_best_score",0.9781,1619506800302,1
"test_recall_Hyperparam_Tuning.find_best_score",0.9815,1619506800302,1
"test_f1_score_Hyperparam_Tuning.find_best_params",0.9835,1619506800302,1
"test_precision_Hyperparam_Tuning.find_best_params",0.9868,1619506800302,1
"test_recall_Hyperparam_Tuning.find_best_params",0.9808,1619506800302,1
"test_f1_score_Hyperparam_Tuning.find_best_model_class",0.9966,1619506800302,1
"test_precision_Hyperparam_Tuning.find_best_model_class",0.9986,1619506800302,1
"test_recall_Hyperparam_Tuning.find_best_model_class",0.9945,1619506800302,1
"test_f1_score_Hyperparam_Tuning.train_on_grid",0.9931,1619506800302,1
"test_precision_Hyperparam_Tuning.train_on_grid",0.9941,1619506800302,1
"test_recall_Hyperparam_Tuning.train_on_grid",0.9925,1619506800302,1
"test_f1_score_Hyperparam_Tuning.define_search_space",0.9887,1619506800302,1
"test_precision_Hyperparam_Tuning.define_search_space",0.9863,1619506800302,1
"test_recall_Hyperparam_Tuning.define_search_space",0.9911,1619506800302,1
"test_f1_score_Hyperparam_Tuning.fit_one_cycle",0.999,1619506800302,1
"test_precision_Hyperparam_Tuning.fit_one_cycle",0.9986,1619506800302,1
"test_recall_Hyperparam_Tuning.fit_one_cycle",0.9993,1619506800302,1
"test_f1_score_Visualization.learning_history",0.9846,1619506800302,1
"test_precision_Visualization.learning_history",0.9795,1619506800302,1
"test_recall_Visualization.learning_history",0.9897,1619506800302,1
"test_f1_score_Visualization.distribution",0.9301,1619506800302,1
"test_precision_Visualization.distribution",0.9322,1619506800302,1
"test_recall_Visualization.distribution",0.9444,1619506800302,1
"test_f1_score_Visualization.wandb",1.0,1619506800302,1
"test_precision_Visualization.wandb",1.0,1619506800302,1
"test_recall_Visualization.wandb",1.0,1619506800302,1
"test_f1_score_Visualization.missing_values",1.0,1619506800302,1
"test_precision_Visualization.missing_values",1.0,1619506800302,1
"test_recall_Visualization.missing_values",1.0,1619506800302,1
"test_f1_score_Visualization.plot_predictions",0.9897,1619506800302,1
"test_precision_Visualization.plot_predictions",0.989,1619506800302,1
"test_recall_Visualization.plot_predictions",0.9904,1619506800302,1
"test_f1_score_Data_Export.save_to_csv",0.9904,1619506800302,1
"test_precision_Data_Export.save_to_csv",0.9917,1619506800302,1
"test_recall_Data_Export.save_to_csv",0.9897,1619506800302,1
"test_f1_score_Production.send_to_prod_environment",1.0,1619506800302,1
"test_precision_Production.send_to_prod_environment",1.0,1619506800302,1
"test_recall_Production.send_to_prod_environment",1.0,1619506800302,1
"test_f1_score_Production.save_weights",1.0,1619506800302,1
"test_precision_Production.save_weights",1.0,1619506800302,1
"test_recall_Production.save_weights",1.0,1619506800302,1
